EMC,NVENC,uptime,power avg,RAM,Temp AUX,SWAP,jetson_clocks,NVDEC,NVJPG,Temp thermal,power cur,nvp model,Temp AO,fan,GPU,CPU6,MTS BG,CPU4,CPU5,CPU2,CPU3,CPU1,Temp GPU,MTS FG,time,Temp CPU,APE
2292028,OFF,10:12:10.270000,3585,2292028,39.5,0,OFF,OFF,OFF,40.25,3872,MODE_15W_6CORE,39.5,0.0,0,36,0,21,64,20,23,25,40.0,0,2021-04-09 08:18:25.072409,41.5,150
2292029,OFF,10:12:10.270000,3585,2292028,39.5,0,OFF,OFF,OFF,40.25,3872,MODE_15W_6CORE,39.5,0.0,0,36,0,21,64,20,23,25,40.0,0,2021-04-09 08:18:25.073313,41.5,150
2292364,OFF,10:12:10.800000,3585,2292364,39.5,0,OFF,OFF,OFF,40.25,3872,MODE_15W_6CORE,39.5,0.0,0,73,0,22,19,38,23,22,40.0,0,2021-04-09 08:18:25.599328,41.5,150
2282360,OFF,10:12:11.340000,3585,2282360,39.5,0,OFF,OFF,OFF,40.25,3587,MODE_15W_6CORE,39.5,0.0,0,20,0,27,21,26,41,13,40.0,0,2021-04-09 08:18:26.145940,41.5,150
2282272,OFF,10:12:11.860000,3585,2282272,39.5,0,OFF,OFF,OFF,40.25,3954,MODE_15W_6CORE,39.5,0.0,0,32,0,39,47,48,47,55,40.0,0,2021-04-09 08:18:26.659922,41.5,150
2281508,OFF,10:12:12.400000,3585,2281508,39.5,0,OFF,OFF,OFF,40.25,3995,MODE_15W_6CORE,39.5,0.0,0,56,0,46,25,25,85,41,40.0,0,2021-04-09 08:18:27.199629,41.5,150
2281812,OFF,10:12:12.960000,3585,2281812,40.0,0,OFF,OFF,OFF,40.25,3261,MODE_15W_6CORE,39.5,0.0,0,24,0,19,24,17,20,28,40.0,0,2021-04-09 08:18:27.763940,41.0,150
2282200,OFF,10:12:13.490000,3585,2282200,39.5,0,OFF,OFF,OFF,40.25,3016,MODE_15W_6CORE,39.5,0.0,0,16,0,14,12,25,16,29,40.0,0,2021-04-09 08:18:28.297114,41.5,150
2282416,OFF,10:12:14.010000,3585,2282416,39.5,0,OFF,OFF,OFF,40.25,2812,MODE_15W_6CORE,39.5,0.0,0,19,0,15,16,9,9,19,40.0,0,2021-04-09 08:18:28.813920,41.5,150
2281672,OFF,10:12:14.550000,3585,2281672,39.5,0,OFF,OFF,OFF,40.25,2690,MODE_15W_6CORE,39.5,0.0,0,22,0,25,24,13,11,13,40.0,0,2021-04-09 08:18:29.352061,41.0,150
2281416,OFF,10:12:15.080000,3585,2281416,39.5,0,OFF,OFF,OFF,40.25,2935,MODE_15W_6CORE,39.5,0.0,0,25,0,18,25,20,21,25,40.0,0,2021-04-09 08:18:29.882621,41.5,150
2281280,OFF,10:12:15.600000,3585,2281280,39.5,0,OFF,OFF,OFF,40.25,2976,MODE_15W_6CORE,39.5,0.0,0,22,0,15,23,20,13,17,40.0,0,2021-04-09 08:18:30.407028,41.5,150
2281660,OFF,10:12:16.130000,3584,2281660,39.5,0,OFF,OFF,OFF,40.25,3424,MODE_15W_6CORE,39.5,0.0,0,28,0,42,62,20,13,42,40.0,0,2021-04-09 08:18:30.932715,41.5,150
2281232,OFF,10:12:16.650000,3584,2281232,40.0,0,OFF,OFF,OFF,40.45,2894,MODE_15W_6CORE,39.5,0.0,0,17,0,19,18,11,13,21,40.0,0,2021-04-09 08:18:31.458091,41.5,150
2281992,OFF,10:12:17.170000,3584,2281992,39.5,0,OFF,OFF,OFF,40.45,3709,MODE_15W_6CORE,40.0,0.0,0,32,0,28,34,72,30,39,40.0,0,2021-04-09 08:18:31.975732,42.0,150
2282604,OFF,10:12:17.700000,3584,2282604,39.5,0,OFF,OFF,OFF,40.4,3261,MODE_15W_6CORE,39.5,0.0,0,16,0,19,19,29,19,11,40.5,0,2021-04-09 08:18:32.502985,41.5,150
2283600,OFF,10:12:18.220000,3584,2283600,39.5,0,OFF,OFF,OFF,40.4,3750,MODE_15W_6CORE,39.5,0.0,0,30,0,64,32,26,30,30,40.0,0,2021-04-09 08:18:33.025704,42.0,150
2282056,OFF,10:12:18.740000,3584,2282056,39.5,0,OFF,OFF,OFF,40.25,3220,MODE_15W_6CORE,40.0,0.0,0,23,0,21,23,19,17,26,40.0,0,2021-04-09 08:18:33.539451,42.0,150
2281712,OFF,10:12:19.250000,3584,2281712,39.5,0,OFF,OFF,OFF,40.25,3342,MODE_15W_6CORE,39.5,0.0,0,31,0,28,18,58,27,33,40.5,0,2021-04-09 08:18:34.057881,41.5,150
2282592,OFF,10:12:19.770000,3584,2282592,39.5,0,OFF,OFF,OFF,40.4,3098,MODE_15W_6CORE,39.5,0.0,0,12,0,15,14,23,17,19,40.5,0,2021-04-09 08:18:34.569421,41.5,150
2283444,OFF,10:12:20.290000,3584,2283444,39.5,0,OFF,OFF,OFF,40.4,3995,MODE_15W_6CORE,40.0,0.0,0,50,0,69,84,20,48,18,40.5,0,2021-04-09 08:18:35.095803,42.0,150
2282468,OFF,10:12:20.800000,3584,2282468,40.0,0,OFF,OFF,OFF,40.4,3139,MODE_15W_6CORE,39.5,0.0,0,14,0,22,38,14,23,21,40.5,0,2021-04-09 08:18:35.605600,41.5,150
2282044,OFF,10:12:21.340000,3584,2282044,40.0,0,OFF,OFF,OFF,40.45,3098,MODE_15W_6CORE,40.0,0.0,0,14,0,23,19,22,21,22,40.0,0,2021-04-09 08:18:36.141128,41.5,150
2282604,OFF,10:12:21.850000,3584,2282604,40.0,0,OFF,OFF,OFF,40.45,2976,MODE_15W_6CORE,39.5,0.0,0,25,0,18,20,17,16,21,40.5,0,2021-04-09 08:18:36.655139,41.5,150
2288468,OFF,10:12:22.360000,3584,2288468,40.0,0,OFF,OFF,OFF,40.4,3342,MODE_15W_6CORE,39.5,0.0,0,46,1,11,16,10,24,21,40.5,1,2021-04-09 08:18:37.165033,41.5,150
2303736,OFF,10:12:22.870000,3584,2303736,39.5,0,OFF,OFF,OFF,40.4,3628,MODE_15W_6CORE,40.0,0.0,0,18,1,27,13,15,61,34,40.0,1,2021-04-09 08:18:37.674442,41.5,150
2336720,OFF,10:12:23.400000,3584,2336720,40.0,0,OFF,115,OFF,40.75,4164,MODE_15W_6CORE,39.5,0.0,0,30,1,67,28,26,27,37,40.5,1,2021-04-09 08:18:38.206280,42.0,150
2353768,OFF,10:12:23.930000,3584,2353768,40.0,0,OFF,OFF,OFF,40.75,4450,MODE_15W_6CORE,39.5,0.0,0,36,1,83,50,47,48,69,40.5,1,2021-04-09 08:18:38.728936,42.0,150
2358116,OFF,10:12:24.440000,3584,2358116,40.0,0,OFF,OFF,OFF,40.75,3797,MODE_15W_6CORE,40.0,0.0,0,7,0,11,94,11,6,13,40.5,0,2021-04-09 08:18:39.247832,41.5,150
2475420,OFF,10:12:24.960000,3584,2475420,40.0,0,OFF,665,OFF,40.75,4777,MODE_15W_6CORE,40.0,0.0,0,64,2,58,48,66,81,60,40.5,2,2021-04-09 08:18:39.758902,42.0,150
2470504,OFF,10:12:25.470000,3585,2470504,40.0,0,OFF,588,OFF,40.75,4614,MODE_15W_6CORE,40.0,0.0,0,30,0,34,38,31,94,36,40.5,0,2021-04-09 08:18:40.275116,42.0,150
2468884,OFF,10:12:25.990000,3585,2468884,40.0,0,OFF,537,OFF,40.75,4532,MODE_15W_6CORE,40.0,0.0,0,24,0,29,24,48,73,36,40.5,0,2021-04-09 08:18:40.792635,42.0,150
2467348,OFF,10:12:26.510000,3585,2467348,40.0,0,OFF,448,OFF,40.75,4409,MODE_15W_6CORE,40.0,0.0,0,20,0,21,22,25,94,38,40.5,0,2021-04-09 08:18:41.317229,42.0,150
2541636,OFF,10:12:27.030000,3585,2541636,40.0,0,OFF,409,OFF,40.75,5152,MODE_15W_6CORE,40.0,0.0,0,71,2,72,81,74,98,67,40.5,2,2021-04-09 08:18:41.833240,42.5,150
2504572,OFF,10:12:27.540000,3586,2504572,40.0,0,OFF,371,OFF,40.75,4777,MODE_15W_6CORE,40.0,0.0,0,34,0,33,36,39,74,58,40.5,0,2021-04-09 08:18:42.348129,42.0,150
2492944,OFF,10:12:28.100000,3586,2492944,40.0,0,OFF,345,OFF,40.75,4573,MODE_15W_6CORE,40.0,0.0,0,25,0,29,25,24,94,33,40.5,0,2021-04-09 08:18:42.906873,42.5,150
2466284,OFF,10:12:28.600000,3586,2466284,40.5,0,OFF,345,OFF,40.75,5104,MODE_15W_6CORE,40.0,0.0,0,60,1,81,73,98,61,74,40.5,1,2021-04-09 08:18:43.399224,42.5,150
2489892,OFF,10:12:29.110000,3586,2489892,40.5,0,OFF,345,OFF,40.9,4695,MODE_15W_6CORE,40.0,0.0,0,70,0,58,29,38,33,43,40.5,0,2021-04-09 08:18:43.918392,42.0,150
2525684,OFF,10:12:29.630000,3587,2525684,40.5,0,OFF,345,OFF,40.9,4532,MODE_15W_6CORE,40.0,0.0,0,22,0,72,18,46,33,55,40.5,0,2021-04-09 08:18:44.433991,42.0,150
2510268,OFF,10:12:30.160000,3587,2510268,40.0,0,OFF,345,OFF,40.75,4409,MODE_15W_6CORE,40.0,0.0,0,20,0,94,18,29,22,35,40.5,0,2021-04-09 08:18:44.965872,42.5,150
2508220,OFF,10:12:30.670000,3587,2508220,40.5,0,OFF,345,OFF,40.75,4654,MODE_15W_6CORE,40.0,0.0,0,61,1,94,30,31,36,43,40.5,1,2021-04-09 08:18:45.470856,42.5,150
2486548,OFF,10:12:31.180000,3587,2486548,40.5,0,OFF,345,OFF,41.1,4695,MODE_15W_6CORE,40.0,0.0,0,54,1,51,53,88,46,53,41.0,1,2021-04-09 08:18:45.987895,42.5,150
2478492,OFF,10:12:31.700000,3587,2478492,40.0,0,OFF,345,OFF,41.1,4573,MODE_15W_6CORE,40.0,0.0,0,30,1,38,39,36,67,38,41.0,1,2021-04-09 08:18:46.507063,42.5,150
2473268,OFF,10:12:32.230000,3588,2473268,40.5,0,OFF,345,OFF,41.25,4899,MODE_15W_6CORE,40.0,0.0,0,43,0,48,94,47,67,56,41.0,0,2021-04-09 08:18:47.037003,43.0,150
2561140,OFF,10:12:32.740000,3588,2561140,40.5,0,OFF,345,OFF,41.25,4491,MODE_15W_6CORE,40.0,0.0,0,27,0,26,94,32,25,34,41.0,0,2021-04-09 08:18:47.545925,42.5,150
2532984,OFF,10:12:33.260000,3588,2532984,40.5,0,OFF,345,OFF,41.25,4450,MODE_15W_6CORE,40.0,0.0,0,26,0,24,94,42,27,45,41.0,0,2021-04-09 08:18:48.060109,42.5,150
2511728,OFF,10:12:33.780000,3588,2511728,40.5,0,OFF,345,OFF,41.25,4532,MODE_15W_6CORE,40.0,0.0,0,29,0,62,57,33,32,43,41.0,0,2021-04-09 08:18:48.580485,42.5,150
2509800,OFF,10:12:34.300000,3588,2509800,40.5,0,OFF,345,OFF,40.95,4369,MODE_15W_6CORE,40.5,0.0,0,17,0,94,20,31,24,38,41.0,0,2021-04-09 08:18:49.105679,42.5,150
